mice 老鼠 （mouse的复数）
bad 坏的 
hurt 受伤 
ill 有病 
wrong 错误的,有毛病 
should 应该 
feel 感觉 
well 健康 
sit 坐 
grass 草坪
hear 听见 
ant 蚂蚁 
worry 担心 
stuck 陷住 
mud 泥 
pull 拉 
everyone 每人
younger   更年轻的 （young）
went   去 （go）
older   更年长的 （old）
stay   停留,呆,保持
camp   野营
taller   更高的 （tall）
shorter  更矮的,更短的
longer   更长的 （long）
thinner   更瘦的 （thin）
had a cold   感冒
rode   骑
heavier   更重的 （heavy）
slept   睡觉 （sleep）
bigger   更大的 （big）
read   读
smaller   更小的 （small） 
stronger   更强壮的 （strong）
last   最近的,上一个的
take pictures   照相
dinosaur   恐龙
yesterday   昨天
hall   大厅
before   在...之前
gift   礼物
metre   米
than   比 
off   落下
both   两个都 
magazine   杂志
Labour Day   劳动节
kilogram   千克,公斤
better   更好的 （well,good）
mule   骡子
countryside   乡村 
faster   更快的 （fast）
Turpan   吐鲁番
lower   更低的 （low）
hotel   旅馆
can   能
shadow   阴影,影子 
fix   修理
till   直到
smarter   更聪明的 （smart）
broken   破损的
beach   沙滩
become   变成 
lamp    台灯
basket   篮,框
loud   大声的,喧闹的
part   角色
enjoy   喜爱
lick   舔 
laugh   笑
dining hall   饭厅
race   赛跑 
nothing   没有什么
think   想
ago   以前 
cycling   骑自行车运动
cheetah   猎豹 
ice skate   滑冰 
wake   醒
badminton   羽毛球运动
dream   梦 
star   星 
easy   容易的
look up   查阅
Internet   互联网
different   不同的 
active   积极的,活跃的
